Customer ID,Recency,Frequency,Monetary,Cluster,Segment
12346,325,12,77556.46,2,Champions
12608,404,1,415.79,0,Lost
12745,486,2,723.85,0,Lost
12746,540,1,254.55,0,Lost
12747,2,26,9276.54,2,Champions
12748,0,336,56599.39,2,Champions
12749,3,9,6897.36,2,Champions
12777,457,1,519.45,0,Lost
12819,458,1,540.52,0,Lost
12820,3,11,2689.52,2,Champions
12821,214,2,220.8,0,Lost
12822,70,2,948.88,3,At-Risk
12823,74,18,6501.5,2,Champions
12824,59,1,397.12,3,At-Risk
12825,521,2,518.63,0,Lost
12826,2,12,2955.75,2,Champions
12827,5,3,430.15,3,At-Risk
12828,2,6,1018.71,3,At-Risk
12829,336,3,385.3,0,Lost
12830,37,6,6814.64,2,Champions
12831,262,3,451.11,0,Lost
12832,32,2,383.03,3,At-Risk
12833,145,1,417.38,0,Lost
12834,282,1,312.38,0,Lost
12835,427,41,6043.31,2,Champions
12836,59,15,6585.62,2,Champions
12837,173,2,688.41,0,Lost
12838,33,10,3398.48,2,Champions
12839,2,26,10071.73,2,Champions
12840,143,7,4041.97,1,Lapsing
12841,4,40,7540.68,2,Champions
12842,70,4,1917.99,1,Lapsing
12843,65,30,6588.41,2,Champions
12844,29,4,648.6,3,At-Risk
12845,267,4,354.09000000000003,0,Lost
12846,682,1,15.58,0,Lost
12847,22,2,1636.9,3,At-Risk
12848,675,1,208.0,0,Lost
12849,31,6,3090.56,1,Lapsing
12850,445,1,330.0,0,Lost
12851,96,2,284.13,0,Lost
12852,294,1,311.55,0,Lost
12853,134,11,3907.5,1,Lapsing
12854,78,7,2994.02,1,Lapsing
12855,372,4,650.94,1,Lapsing
12856,7,6,2179.93,3,At-Risk
12857,210,6,3688.0,1,Lapsing
12858,383,1,177.92,0,Lost
12859,458,1,575.1,0,Lost
12860,693,1,55.47,0,Lost
12861,619,1,68.25,0,Lost
12862,425,2,1008.32,0,Lost
12863,52,6,2792.55,1,Lapsing
12864,138,2,299.57,0,Lost
12867,26,13,7913.29,2,Champions
12868,185,8,2247.06,1,Lapsing
12869,681,1,337.67,0,Lost
12870,375,3,1676.95,1,Lapsing
